Line_Number,Tank,Core_ID,Date,Pump_setting,Flow_rate_mL_min-1,Time,Time_point,Water_column_height_1_cm,Height_2_cm,Height_3_cm,Height_4_cm,Average_height_cm,Core_diameter_cm,Core_radius_cm,Volume_of_water_mL,Dilution_rate_D_min-1,Core_residence_time_min,Core_residence_time_hr,Core_ID,Flow_rate_L_hr
1,fresh,26_fresh,4/29/26,1.5,2.2,10:30,7.5 hrs before T1,7.4,10.6,8.9,7.3,8.55,6.3,3.15,266.524474,0.008254401,121.1474882,2.02,26_fresh,0.132
2,fresh,20_fresh,4/29/26,1.5,2.6,10:30,7.5 hrs before T1,9.0,8.6,9.7,9.0,9.075,6.3,3.15,282.8900119,0.009190851,108.8038507,1.81,20_fresh,0.156
3,fresh,08_fresh,4/29/26,1.5,2.0,10:30,7.5 hrs before T1,11.0,11.0,11.3,10.3,10.9,6.3,3.15,339.7797388,0.005886166,169.8898694,2.83,08_fresh,0.12
4,fresh,11_fresh,4/29/26,1.5,1.8,10:30,7.5 hrs before T1,10.0,10.4,9.7,9.4,9.875,6.3,3.15,307.8279744,0.005847422,171.0155413,2.85,11_fresh,0.108
5,fresh,02_fresh,4/29/26,1.5,2.0,10:30,7.5 hrs before T1,10.8,10.2,10.4,11.6,10.75,6.3,3.15,335.1038709,0.005968299,167.5519354,2.79,02_fresh,0.12
6,fresh,29_fresh,4/29/26,1.5,1.9,10:30,7.5 hrs before T1,9.5,9.0,9.4,9.0,9.225,6.3,3.15,287.5658799,0.006607182,151.3504631,2.52,29_fresh,0.114
7,fresh,05_fresh,4/29/26,1.5,1.5,10:30,7.5 hrs before T1,10.1,9.8,10.7,10.5,10.275,6.3,3.15,320.2969557,0.004683154,213.5313038,3.56,05_fresh,0.09
8,fresh,17_fresh,4/29/26,1.5,2.4,10:30,7.5 hrs before T1,10.2,10.9,10.1,10.3,10.375,6.3,3.15,323.414201,0.007420824,134.7559171,2.25,17_fresh,0.144
9,fresh,23_fresh,4/29/26,1.5,1.1,10:30,7.5 hrs before T1,9.8,9.6,9.6,9.7,9.675,6.3,3.15,301.5934838,0.003647294,274.1758944,4.57,23_fresh,0.066
10,fresh,14_fresh,4/29/26,1.5,2.8,10:30,7.5 hrs before T1,12.1,12.3,12.9,13.2,12.625,6.3,3.15,393.5522205,0.007114685,140.5543644,2.34,14_fresh,0.168
